Day,Year,Month,WeekNum,Month Name
1/2/2006,2006,1,2,January
1/3/2006,2006,1,2,January
1/4/2006,2006,1,2,January
1/5/2006,2006,1,2,January
1/6/2006,2006,1,2,January
1/7/2006,2006,1,2,January
1/8/2006,2006,1,2,January
1/8/2007,2007,1,2,January
1/9/2007,2007,1,2,January
1/10/2007,2007,1,2,January
1/11/2007,2007,1,2,January
1/12/2007,2007,1,2,January
1/13/2007,2007,1,2,January
1/14/2007,2007,1,2,January
1/7/2008,2008,1,2,January
1/8/2008,2008,1,2,January
1/9/2008,2008,1,2,January
1/10/2008,2008,1,2,January
1/11/2008,2008,1,2,January
1/12/2008,2008,1,2,January
1/13/2008,2008,1,2,January
1/5/2009,2009,1,2,January
1/6/2009,2009,1,2,January
1/7/2009,2009,1,2,January
1/8/2009,2009,1,2,January
1/9/2009,2009,1,2,January
1/10/2009,2009,1,2,January
1/11/2009,2009,1,2,January
1/4/2010,2010,1,2,January
1/5/2010,2010,1,2,January
1/6/2010,2010,1,2,January
1/7/2010,2010,1,2,January
1/8/2010,2010,1,2,January
1/9/2010,2010,1,2,January
1/10/2010,2010,1,2,January
1/3/2011,2011,1,2,January
1/4/2011,2011,1,2,January
1/5/2011,2011,1,2,January
1/6/2011,2011,1,2,January
1/7/2011,2011,1,2,January
1/8/2011,2011,1,2,January
1/9/2011,2011,1,2,January
1/2/2012,2012,1,2,January
1/3/2012,2012,1,2,January
1/4/2012,2012,1,2,January
1/5/2012,2012,1,2,January
1/6/2012,2012,1,2,January
1/7/2012,2012,1,2,January
1/8/2012,2012,1,2,January
1/7/2013,2013,1,2,January
1/8/2013,2013,1,2,January
1/9/2013,2013,1,2,January
1/10/2013,2013,1,2,January
1/11/2013,2013,1,2,January
1/12/2013,2013,1,2,January
1/13/2013,2013,1,2,January
1/6/2014,2014,1,2,January
1/7/2014,2014,1,2,January
1/8/2014,2014,1,2,January
1/9/2014,2014,1,2,January
1/10/2014,2014,1,2,January
1/11/2014,2014,1,2,January
1/12/2014,2014,1,2,January
1/5/2015,2015,1,2,January
1/6/2015,2015,1,2,January
1/7/2015,2015,1,2,January
1/8/2015,2015,1,2,January
1/9/2015,2015,1,2,January
1/10/2015,2015,1,2,January
1/11/2015,2015,1,2,January
1/4/2016,2016,1,2,January
1/5/2016,2016,1,2,January
1/6/2016,2016,1,2,January
1/7/2016,2016,1,2,January
1/8/2016,2016,1,2,January
1/9/2016,2016,1,2,January
1/10/2016,2016,1,2,January
1/2/2017,2017,1,2,January
1/3/2017,2017,1,2,January
1/4/2017,2017,1,2,January
1/5/2017,2017,1,2,January
1/6/2017,2017,1,2,January
1/7/2017,2017,1,2,January
1/8/2017,2017,1,2,January
1/8/2018,2018,1,2,January
1/9/2018,2018,1,2,January
1/10/2018,2018,1,2,January
1/11/2018,2018,1,2,January
1/12/2018,2018,1,2,January
1/13/2018,2018,1,2,January
1/14/2018,2018,1,2,January
1/7/2019,2019,1,2,January
1/8/2019,2019,1,2,January
1/9/2019,2019,1,2,January
1/10/2019,2019,1,2,January
1/11/2019,2019,1,2,January
1/12/2019,2019,1,2,January
1/13/2019,2019,1,2,January
1/6/2020,2020,1,2,January
1/7/2020,2020,1,2,January
1/8/2020,2020,1,2,January
1/9/2020,2020,1,2,January
1/10/2020,2020,1,2,January
1/11/2020,2020,1,2,January
1/12/2020,2020,1,2,January
1/4/2021,2021,1,2,January
1/5/2021,2021,1,2,January
1/6/2021,2021,1,2,January
1/7/2021,2021,1,2,January
1/8/2021,2021,1,2,January
1/9/2021,2021,1,2,January
1/10/2021,2021,1,2,January
1/3/2022,2022,1,2,January
1/4/2022,2022,1,2,January
1/5/2022,2022,1,2,January
1/6/2022,2022,1,2,January
1/7/2022,2022,1,2,January
1/8/2022,2022,1,2,January
1/9/2022,2022,1,2,January
1/2/2023,2023,1,2,January
1/3/2023,2023,1,2,January
1/4/2023,2023,1,2,January
1/5/2023,2023,1,2,January
1/6/2023,2023,1,2,January
1/7/2023,2023,1,2,January
1/8/2023,2023,1,2,January
1/8/2024,2024,1,2,January
1/9/2024,2024,1,2,January
1/10/2024,2024,1,2,January
1/11/2024,2024,1,2,January
1/12/2024,2024,1,2,January
1/13/2024,2024,1,2,January
1/14/2024,2024,1,2,January
1/6/2025,2025,1,2,January
1/7/2025,2025,1,2,January
1/8/2025,2025,1,2,January
1/9/2025,2025,1,2,January
1/10/2025,2025,1,2,January
1/11/2025,2025,1,2,January
1/12/2025,2025,1,2,January
1/5/2026,2026,1,2,January
1/6/2026,2026,1,2,January
1/7/2026,2026,1,2,January
1/8/2026,2026,1,2,January
1/9/2026,2026,1,2,January
1/10/2026,2026,1,2,January
1/11/2026,2026,1,2,January
1/4/2027,2027,1,2,January
1/5/2027,2027,1,2,January
1/6/2027,2027,1,2,January
1/7/2027,2027,1,2,January
1/8/2027,2027,1,2,January
1/9/2027,2027,1,2,January
1/10/2027,2027,1,2,January
1/3/2028,2028,1,2,January
1/4/2028,2028,1,2,January
1/5/2028,2028,1,2,January
1/6/2028,2028,1,2,January
1/7/2028,2028,1,2,January
1/8/2028,2028,1,2,January
1/9/2028,2028,1,2,January
1/8/2029,2029,1,2,January
1/9/2029,2029,1,2,January
1/10/2029,2029,1,2,January
1/11/2029,2029,1,2,January
1/12/2029,2029,1,2,January
1/13/2029,2029,1,2,January
1/14/2029,2029,1,2,January
1/7/2030,2030,1,2,January
1/8/2030,2030,1,2,January
1/9/2030,2030,1,2,January
1/10/2030,2030,1,2,January
1/11/2030,2030,1,2,January
1/12/2030,2030,1,2,January
1/13/2030,2030,1,2,January
1/6/2031,2031,1,2,January
1/7/2031,2031,1,2,January
1/8/2031,2031,1,2,January
1/9/2031,2031,1,2,January
1/10/2031,2031,1,2,January
1/11/2031,2031,1,2,January
1/12/2031,2031,1,2,January
1/5/2032,2032,1,2,January
1/6/2032,2032,1,2,January
1/7/2032,2032,1,2,January
1/8/2032,2032,1,2,January
1/9/2032,2032,1,2,January
1/10/2032,2032,1,2,January
1/11/2032,2032,1,2,January
1/3/2033,2033,1,2,January
1/4/2033,2033,1,2,January
1/5/2033,2033,1,2,January
1/6/2033,2033,1,2,January
1/7/2033,2033,1,2,January
1/8/2033,2033,1,2,January
1/9/2033,2033,1,2,January
